level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1654	2339	-1	
2	1	1	0	0	0	135	77	1367	1695	-1	
3	1	1	1	0	0	135	77	1367	1689	-1	
4	1	1	1	1	0	136	77	398	26	-1	
5	1	1	1	1	1	136	77	130	26	96.213379	Invoice
5	1	1	1	1	2	283	83	53	20	96.379265	no:
5	1	1	1	1	3	355	77	179	26	95.871506	12847181
4	1	1	1	2	0	136	145	839	26	-1	
5	1	1	1	2	1	136	146	69	22	96.588120	Date
5	1	1	1	2	2	218	145	28	23	96.591858	of
5	1	1	1	2	3	258	145	83	23	96.413254	issue:
5	1	1	1	2	4	805	145	170	26	96.180771	03/03/2012
4	1	1	1	3	0	135	443	811	41	-1	
5	1	1	1	3	1	135	443	117	41	96.905998	Seller:
5	1	1	1	3	2	828	447	118	25	96.863365	Client:
4	1	1	1	4	0	144	510	856	27	-1	
5	1	1	1	4	1	144	510	142	27	96.494202	Fitzpatrick
5	1	1	1	4	2	297	510	48	21	96.769676	and
5	1	1	1	4	3	359	510	63	21	96.926643	Sons
5	1	1	1	4	4	837	511	102	20	96.662231	Duncan
5	1	1	1	4	5	952	510	48	21	96.301277	PLC
4	1	1	1	5	0	143	546	966	21	-1	
5	1	1	1	5	1	143	546	85	21	96.299042	00480
5	1	1	1	5	2	240	546	68	21	95.873695	Cook
5	1	1	1	5	3	319	546	67	21	96.137169	Cove
5	1	1	1	5	4	837	546	54	21	95.053879	Unit
5	1	1	1	5	5	902	546	67	21	95.053879	8799
5	1	1	1	5	6	982	547	49	20	95.933090	Box
5	1	1	1	5	7	1043	546	66	21	95.933090	0703
4	1	1	1	6	0	143	582	892	27	-1	
5	1	1	1	6	1	143	582	175	27	96.678696	Spencerport,
5	1	1	1	6	2	332	583	35	20	96.247177	UT
5	1	1	1	6	3	379	582	84	21	95.489517	12036
5	1	1	1	6	4	837	582	56	21	91.257141	DPO
5	1	1	1	6	5	904	583	34	20	93.937538	AP
5	1	1	1	6	6	950	582	85	21	93.937538	81970
4	1	1	1	7	0	141	653	973	21	-1	
5	1	1	1	7	1	141	654	50	20	95.502937	Tax
5	1	1	1	7	2	203	653	30	21	93.179443	Id:
5	1	1	1	7	3	247	653	175	21	90.834267	998-99-5253
5	1	1	1	7	4	834	654	50	20	96.882614	Tax
5	1	1	1	7	5	896	653	30	21	93.200333	Id:
5	1	1	1	7	6	939	653	175	21	92.194618	911-82-7132
4	1	1	1	8	0	144	688	479	25	-1	
5	1	1	1	8	1	144	689	71	20	90.304420	IBAN:
5	1	1	1	8	2	228	688	395	25	91.939949	GB92PBPQ73499358975916
4	1	1	1	9	0	136	763	110	26	-1	
5	1	1	1	9	1	136	763	110	26	96.161713	ITEMS
4	1	1	1	10	0	162	845	1337	30	-1	
5	1	1	1	10	1	162	845	38	28	96.602913	No.
5	1	1	1	10	2	242	845	140	30	95.535934	Description
5	1	1	1	10	3	681	845	43	30	96.742195	Qty
5	1	1	1	10	4	781	850	36	16	94.311081	UM
5	1	1	1	10	5	903	850	42	16	96.251480	Net
5	1	1	1	10	6	955	849	60	22	96.053345	price
5	1	1	1	10	7	1062	850	41	16	95.871117	Net
5	1	1	1	10	8	1113	849	70	17	95.871117	worth
5	1	1	1	10	9	1231	850	49	16	90.683113	VAT
5	1	1	1	10	10	1290	849	39	20	90.683113	[%]
5	1	1	1	10	11	1430	849	69	17	96.730438	Gross
4	1	1	1	11	0	1428	876	70	17	-1	
5	1	1	1	11	1	1428	876	70	17	96.509148	worth
4	1	1	1	12	0	169	932	1330	28	-1	
5	1	1	1	12	1	169	932	20	28	53.355106	tks
5	1	1	1	12	2	242	937	27	16	96.863297	HP
5	1	1	1	12	3	279	936	89	22	95.438911	Desktop
5	1	1	1	12	4	377	936	109	22	96.182205	Computer
5	1	1	1	12	5	496	936	25	17	95.013809	PC
5	1	1	1	12	6	530	937	12	20	48.514690	J]
5	1	1	1	12	7	676	936	47	20	96.859924	4,00
5	1	1	1	12	8	773	936	51	17	96.460052	each
5	1	1	1	12	9	940	936	74	20	94.171371	139,95
5	1	1	1	12	10	1109	936	75	20	96.877235	559,80
5	1	1	1	12	11	1284	936	46	18	94.838074	10%
5	1	1	1	12	12	1423	936	76	20	95.963547	615,78
4	1	1	1	13	0	241	963	318	17	-1	
5	1	1	1	13	1	241	963	50	17	91.233688	Core
5	1	1	1	13	2	301	963	17	17	88.730553	i5
5	1	1	1	13	3	329	963	57	17	89.624786	16GB
5	1	1	1	13	4	396	963	40	17	89.624786	2TB
5	1	1	1	13	5	446	964	31	16	91.962410	HD
5	1	1	1	13	6	486	963	73	17	91.962410	256GB
4	1	1	1	14	0	241	991	303	21	-1	
5	1	1	1	14	1	241	991	43	17	96.498589	SSD
5	1	1	1	14	2	294	991	35	17	95.621429	22"
5	1	1	1	14	3	340	991	42	17	95.338959	LCD
5	1	1	1	14	4	391	992	11	20	37.314373	J]
5	1	1	1	14	5	411	991	98	17	96.660347	Windows
5	1	1	1	14	6	520	991	24	17	96.733955	10
4	1	1	1	15	0	172	1050	1326	20	-1	
5	1	1	1	15	1	172	1051	17	16	96.173828	2.
5	1	1	1	15	2	241	1050	93	17	96.040627	CUSTOM
5	1	1	1	15	3	345	1051	62	16	96.519775	BUILT
5	1	1	1	15	4	415	1051	50	16	92.717117	AMD
5	1	1	1	15	5	475	1051	71	16	92.324020	RYZEN
5	1	1	1	15	6	676	1050	47	20	96.215393	3,00
5	1	1	1	15	7	773	1050	51	17	95.588676	each
5	1	1	1	15	8	919	1051	10	16	94.378708	1
5	1	1	1	15	9	939	1050	75	20	94.378708	400,00
5	1	1	1	15	10	1087	1051	12	16	93.669960	4
5	1	1	1	15	11	1109	1050	74	20	93.669960	200,00
5	1	1	1	15	12	1284	1050	45	17	96.627716	10%
5	1	1	1	15	13	1402	1051	12	16	92.372757	4
5	1	1	1	15	14	1424	1050	74	19	92.372757	620,00
4	1	1	1	16	0	240	1078	268	17	-1	
5	1	1	1	16	1	240	1079	169	16	90.978645	THREADRIPPER
5	1	1	1	16	2	419	1078	89	17	96.254189	GAMING
4	1	1	1	17	0	241	1106	275	20	-1	
5	1	1	1	17	1	241	1106	123	17	91.047867	COMPUTER
5	1	1	1	17	2	374	1120	3	6	91.047867	,
5	1	1	1	17	3	388	1106	24	17	96.972099	32
5	1	1	1	17	4	423	1106	29	17	96.895218	GB
5	1	1	1	17	5	463	1107	53	19	96.771667	RAM,
4	1	1	1	18	0	172	1165	1327	22	-1	
5	1	1	1	18	1	172	1165	17	18	58.789810	Sh
5	1	1	1	18	2	242	1166	44	16	96.642891	Fast
5	1	1	1	18	3	296	1165	39	17	96.238594	Dell
5	1	1	1	18	4	345	1165	92	22	96.799706	Optiplex
5	1	1	1	18	5	447	1165	88	22	96.776917	Desktop
5	1	1	1	18	6	545	1165	26	17	96.183594	PC
5	1	1	1	18	7	677	1165	46	20	96.532890	1,00
5	1	1	1	18	8	773	1165	51	17	96.740341	each
5	1	1	1	18	9	939	1165	75	20	96.718956	217,00
5	1	1	1	18	10	1109	1165	74	19	96.275513	217,00
5	1	1	1	18	11	1284	1165	45	17	95.332756	10%
